,productName,offer_Price,market_Price
127,LPT660 Wireless Bluetooth Earphone Headset with microphone heavy low bass stereo white orange ,"KSh 1,199",
128,"Professional Eyeshadow Palette 120 Colors Eyeshadow Natural Super Light Makeup  Pallete Set Colorful Easy to color, not blooming
Rich in color
Waterproof and sweatproof",KSh 799,"KSh 2,599 "
129,"Color 24 Cosmetic Contour Makeup Palette Shading Brightening Pressed Highlighter Powder as the picture Perfect for giving an all over glow, or for contouring
SMOOTH FORMULA - Easy to build up
Perfect for contouring cheeks, chin, and eyes",KSh 399,"KSh 1,799 "
130,VITRON V503D Home Theater Sound System 2.1 Multimedia Bluetooth Speaker Subwoofer black 35W V503D ,"KSh 2,850","KSh 3,690 "
131,Electric Shaver Rechargeable Double Blade Built in Charger Mini Razor for Face Care Men BeardTrimmer Black as pictures ,KSh 599,"KSh 1,699 "
132,RONI Summer women baseball cap lady pure color  personality sequins sunshade cap 01 ,KSh 399,KSh 599 
133,SOHI Winter Clearance Sale  1 Pairs Size 35-41 Suede Ankle Boots Women&aposs Shoes Causal Martin Boots black 38 SOHI Winter Clearance Sale  1 Pairs Size 35-41 Suede Ankle Boots Women&aposs Shoes Causal Martin Boots Made Fun,"KSh 1,329","KSh 1,399 "
134,"COCOCICI Men&aposs Fashion Embroidered Solid Color Shirt Large Size Slim Long Sleeve Shirt deep blue xl The successful choice for business men, the fabric is breathable and comfortable, and the stretch is good.","KSh 1,299","KSh 2,598 "
135,"Oukitel C10, 5.0"", 8GB + 1GB RAM (Dual SIM) 3G black Oukitel C10","KSh 4,350","KSh 4,420 "
136,"JUMEI New Fashion Ladies Handbags Women Bag PU Leather Bags For Party For Wedding Holiday black s Safety And Environmental Protection materials of the handbags in my store
Fashion Style, let you be beautiful all the time","KSh 1,399","KSh 3,899 "
137,1800W Powerful Professional Hair Dryer Blow Dryer UK Plug Hairdryer 220V ZF-3000 BLACK NORMAL 1800W Powerful Professional Hair Dryer Blow Dryer UK Plug Hairdryer 220V ZF-3000,"KSh 1,099","KSh 2,999 "
138,TAGWOOD TG2018 Electric Stainless Kettle Black ,KSh 999,"KSh 1,999 "
139,"OUKITEL C8 4G , 2GB+16GB,  5.5HD, 13.0MP+5.0MP, 4G,  Fingerprint, Smart Phones gold ","KSh 8,559","KSh 9,600 "
140,"GoldenTech 17"" HD LED TV DV3T2 Energy Saving black 17 ","KSh 5,600",
141,VITRON V019 Home Theater Sound System 2.1 Multimedia Speaker Subwoofer black 25w V019 ,"KSh 2,299","KSh 2,790 "
142,iBRIT i2 - 5.0&apos&apos - 2GB - 16GB - 8MP Camera - Dual SIM - 3G + Free Backpack black ,"KSh 7,999","KSh 8,999 "
143,New mobile phone Comio A8s 5.0  2GB+32GB(Dual SIM) 4 Core processor white ,"KSh 7,999",
144,GAGNWENR Limited Explosion Promotion price reduction crazy rush to buy Leather Shoulder Bag Handbag claret 20cm*8cm*15cm GAGNWENR Promotion Women&aposs Handbags Crazy Purchase Good Quality and Low Price,"KSh 1,591",
145,Women Fashion Slip On Martin Boots Platform Ankle Boots For Women Comfortable Low Heel Ladies Shoes brown 40 ,"KSh 1,393","KSh 1,699 "
146,"2018 new men&aposs casual leather men&aposs lace,breathable single shoes business suit shoes. brown 44 leatherwear ","KSh 2,899",
147,Foldable Wireless Arc Optical Mouse Mice with USB Receiver for PC Laptop Notebook Computer ,KSh 399,"KSh 1,299 "
148,VITRON V634 Home Theater HI-FI Multimedia System  Bluetooth Speaker Subwoofe black 60w V634 ,"KSh 5,400","KSh 6,200 "
149,Pack Of 2/Set Couple Watch Back View Casual Quartz Watch Couple&aposs Gift as picture onesize KAKA Fashion Accessories,KSh 499,
150,Synthetic Wigs New Fashion Hair Wigs Women Wigs Hair Wave 14inch black 14inch Synthetic Wigs,KSh 899,"KSh 2,259 "
151,Fashion Women Vintage Printing Bodycon Sleeveless Casual Evening Party Prom Swing Dress xxl light blue Fashion Women Vintage Printing Bodycon Sleeveless Casual Evening Party Prom Swing Dress,KSh 889,"KSh 1,049 "
152,"Fashion Weave Women Handbag Large Capacity Casual Tote Shopper Bag PU Leather Ladies Shoulder Bags Style2 Normal Large Capacity, Handmade Woven, Exquisite & Quality, Good Service","KSh 1,198",
153,Elegant Ladies Solid Color Shallow Mouth Round Toe Patent Leather Thick High Heel Shoes black 41 ,"KSh 1,399","KSh 2,999 "
154,2018 Mens Shoes Casual Comfortable Footwear Summer Flat Men Canvas Shoes Lace-up Solid red 44 ,"KSh 1,299","KSh 2,999 "
155,Makeup Brushes Powder Concealer Blush Liquid Foundation Face Makeup Brush Tools Professional as the picture ,KSh 199,KSh 899 
156,"Portable Miniature Female Facial Hair Remover Electric Remover Painless Hair Removal Epilator purple Multi-function eyebrow special
Safe and painless hair removal
Exquisite appearance, made of aluminum alloy",KSh 399,"KSh 1,999 "
157,Non-stick 12PCS Shell Shaped Biscuit Mold Cake Pans Lightweight Kitchen Portable Bakeware Tool black normal ,KSh 699,"KSh 1,999 "
158,"SOFTCARE Diaper Premium, Large 9-15Kgs,Count 8 For Baby white l8 (9-15kgs) ",KSh 145,KSh 189 
159,High Quality Cotton Duvet with 2 Pillow cases and 1 Bedsheet 4pcs Stripe 5*6 Size one color 5*6 This product is classic.It will give you the warmth of home. We hope you will like it.,"KSh 1,880","KSh 2,799 "
